name,country
Ksar Hellal,TN
Miass,RU
Korkino,RU
Ozersk,RU
Shadrinsk,RU
Chebarkul’,RU
Yemanzhelinsk,RU
Kyshtym,RU
Chelyabinsk,RU
Asha,RU
Kurtamysh,RU
Sim,RU
Zlatoust,RU
Kopeysk,RU
Kasli,RU
Snezhinsk,RU
Verkhniy Ufaley,RU
Krasnoufimsk,RU
Shumikha,RU
Petropavl,KZ
Uchaly,RU
Sysert’,RU
Kusa,RU
Shchuchinsk,KZ
Ksour Essaf,TN
Mahdia,TN
Zouila,TN
Omsk,RU
Bekalta,TN
Bakal,RU
Kataysk,RU
Yuzhnoural’sk,RU
Skikda,DZ
Zalţan,LY
Magnitogorsk,RU
Chernushka,RU
Ust’-Katav,RU
Akkol’,KZ
Kurgan,RU
Kokshetau,KZ
Trëkhgornyy,RU
Plast,RU
Blagoveshchensk,RU
Polevskoy,RU
Katav-Ivanovsk,RU
Birsk,RU
Kamensk-Ural’skiy,RU
Makinsk,KZ
Ishim,RU
Satka,RU
Zuwārah,LY
Talitsa,RU
Mezgor'e,RU
Baymak,RU
Karabash,RU
Nar'yan-Mar,RU
Asbest,RU
Monastir,TN
Ouardenine,TN
Sousse,TN
Skanes,TN
Zhitikara,KZ
Ufa,RU
Zarechnyy,RU
Kalachinsk,RU
Lys’va,RU
Chishmy,RU
Artëmovskiy,RU
Aramil,RU
Tyumen,RU
Reftinskiy,RU
Rayevskiy,RU
Meleuz,RU
Rezh,RU
Borovskiy,RU
Sibay,RU
Gay,RU
Kostanay,KZ
Atbasar,KZ
Galaat el Andeless,TN
Sukhoy Log,RU
Davlekanovo,RU
Oued Lill,TN
Manouba,TN
Salavat,RU
Ishimbay,RU
Sterlitamak,RU
Bogdanovich,RU
Nadym,RU
Annaba,DZ
Chusovoy,RU
Beni Amrane,DZ
Novyy Urengoy,RU
Yanaul,RU
Thenia,DZ
Boumerdas,DZ
Boudouaou,DZ
Kungur,RU
Beloretsk,RU
Kamyshlov,RU
Tatarsk,RU
Yekaterinburg,RU
Novotroitsk,RU
Saraktash,RU
Pokhvistnevo,RU
Leninogorsk,RU
Revda,RU
Alapayevsk,RU
El Hadjar,DZ
Stepnogorsk,KZ
Drean,DZ
Degtyarsk,RU
Besbes,DZ
Buzuluk,RU
Jiaozuo,CN
Al’met’yevsk,RU
Mateur,TN
Kuvandyk,RU
Lons-le-Saunier,FR
Turinsk,RU
Azzaba,DZ
Buguruslan,RU
Ezzouhour,TN
Akouda,TN
Msaken,TN
Hammam Sousse,TN
Rudnyy,KZ
Djemmal,TN
Medenine,TN
Troitsk,RU
Beryozovsky,RU
Orsk,RU
Douar Tindja,TN
Menzel Abderhaman,TN
Bizerte,TN
Menzel Bourguiba,TN
Mednogorsk,RU
Al Jumayl,LY
Dyurtyuli,RU
Krasnokamsk,RU
Berrahal,DZ
Kumertau,RU
Ben Arous,TN
Tunis,TN
La Sebala du Mornag,TN
Pervouralsk,RU
Radès,TN
Ariana,TN
La Mohammedia,TN
La Goulette,TN
Carthage,TN
Zavodoukovsk,RU
Hammam-Lif,TN
Lisakovsk,KZ
Tamalous,DZ
Lesnoy,RU
Osa,RU
Yalutorovsk,RU
Chabet el Ameur,DZ
Perm,RU
Xinxiang,CN
Kartaly,RU
Chebba,TN
Naciria,DZ
El Jem,TN
Yasnyy,RU
Karasuk,RU
Novoural’sk,RU
Geretsried,DE
Penzberg,DE
Tavda,RU
Sol’-Iletsk,RU
Zaghouan,TN
Bad Tölz,DE
Dole,FR
Kupino,RU
Le Creusot,FR
Sredneuralsk,RU
Saint-Leu,FR
Verkhnyaya Pyshma,RU
Neftekamsk,RU
Gauting,DE
Bourg-en-Bresse,FR
Wolfratshausen,DE
Medjez el Bab,TN
Taufkirchen,DE
Zeralda,DZ
Kolea,DZ
Orenburg,RU
Unterhaching,DE
Bou Ismaïl,DZ
El Hamma,TN
Bugulma,RU
Gubakha,RU
Sfax,TN
Gremda,TN
Holzkirchen,DE
Dobryanka,RU
Vaterstetten,DE
Ottobrunn bei München,DE
Haar,DE
